model_type,chunk_transition,concept_drift_score,accuracy_drop,has_drift,accuracy_model1,accuracy_model2
decision_tree,chunk_01_to_02,0.09090909090909091,0.09090909090909091,False,0.14545454545454545,0.05454545454545454
decision_tree,chunk_02_to_03,0.0,-0.05454545454545454,False,0.05454545454545454,0.10909090909090909
decision_tree,chunk_03_to_04,0.0,-0.10909090909090909,False,0.10909090909090909,0.21818181818181817
decision_tree,chunk_04_to_05,0.10909090909090909,0.10909090909090909,True,0.21818181818181817,0.10909090909090909
decision_tree,chunk_05_to_06,0.018181818181818174,0.018181818181818174,False,0.10909090909090909,0.09090909090909091
decision_tree,chunk_06_to_07,0.0,-0.054545454545454536,False,0.09090909090909091,0.14545454545454545
decision_tree,chunk_07_to_08,0.07272727272727272,0.07272727272727272,False,0.14545454545454545,0.07272727272727272
decision_tree,chunk_08_to_09,0.0,-0.14545454545454545,False,0.07272727272727272,0.21818181818181817
decision_tree,chunk_09_to_10,0.09090909090909091,0.09090909090909091,False,0.21818181818181817,0.12727272727272726
logistic_regression,chunk_01_to_02,0.10909090909090907,0.10909090909090907,True,0.2727272727272727,0.16363636363636364
logistic_regression,chunk_02_to_03,0.0,-0.054545454545454536,False,0.16363636363636364,0.21818181818181817
logistic_regression,chunk_03_to_04,0.0,-0.1090909090909091,False,0.21818181818181817,0.32727272727272727
logistic_regression,chunk_04_to_05,0.1090909090909091,0.1090909090909091,True,0.32727272727272727,0.21818181818181817
logistic_regression,chunk_05_to_06,0.0,-0.1090909090909091,False,0.21818181818181817,0.32727272727272727
logistic_regression,chunk_06_to_07,0.1090909090909091,0.1090909090909091,True,0.32727272727272727,0.21818181818181817
logistic_regression,chunk_07_to_08,0.03636363636363635,0.03636363636363635,False,0.21818181818181817,0.18181818181818182
logistic_regression,chunk_08_to_09,0.0,-0.12727272727272726,False,0.18181818181818182,0.3090909090909091
logistic_regression,chunk_09_to_10,0.14545454545454545,0.14545454545454545,True,0.3090909090909091,0.16363636363636364
svm,chunk_01_to_02,0.09090909090909093,0.09090909090909093,False,0.2,0.10909090909090909
svm,chunk_02_to_03,0.0,-0.05454545454545455,False,0.10909090909090909,0.16363636363636364
svm,chunk_03_to_04,0.0,-0.036363636363636376,False,0.16363636363636364,0.2
svm,chunk_04_to_05,0.036363636363636376,0.036363636363636376,False,0.2,0.16363636363636364
svm,chunk_05_to_06,0.07272727272727272,0.07272727272727272,False,0.16363636363636364,0.09090909090909091
svm,chunk_06_to_07,0.0,-0.03636363636363635,False,0.09090909090909091,0.12727272727272726
svm,chunk_07_to_08,0.0,0.0,False,0.12727272727272726,0.12727272727272726
svm,chunk_08_to_09,0.0,-0.1090909090909091,False,0.12727272727272726,0.23636363636363636
svm,chunk_09_to_10,0.054545454545454536,0.054545454545454536,False,0.23636363636363636,0.18181818181818182
neural_network,chunk_01_to_02,0.0,0.0,False,0.03636363636363636,0.03636363636363636
neural_network,chunk_02_to_03,0.0,-0.03636363636363636,False,0.03636363636363636,0.07272727272727272
neural_network,chunk_03_to_04,0.01818181818181818,0.01818181818181818,False,0.07272727272727272,0.05454545454545454
neural_network,chunk_04_to_05,0.0,0.0,False,0.05454545454545454,0.05454545454545454
neural_network,chunk_05_to_06,0.0,-0.01818181818181818,False,0.05454545454545454,0.07272727272727272
neural_network,chunk_06_to_07,0.01818181818181818,0.01818181818181818,False,0.07272727272727272,0.05454545454545454
neural_network,chunk_07_to_08,0.0,-0.01818181818181818,False,0.05454545454545454,0.07272727272727272
neural_network,chunk_08_to_09,0.0,-0.03636363636363636,False,0.07272727272727272,0.10909090909090909
neural_network,chunk_09_to_10,0.05454545454545454,0.05454545454545454,False,0.10909090909090909,0.05454545454545454
